part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
16-408773-00,10904R14-3,810,DEBUR,DEBUR,0.10,0.00,4.50,2.57,5.71,55.20,0.00,2.57,185.04,72,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-2,10,CNCR EXACT,CNCR EXACT,0.50,1.00,4.05,4.05,9.00,91.00,55.46,5.05,914.05,181,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-2,20,EXXACT1616,EXXACT1616,0.50,0.50,15.75,15.75,35.00,325.00,186.75,16.25,2941.25,181,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-2,800,DEBUR,DEBUR,0.10,0.00,0.90,2.32,5.16,12.00,18.56,2.32,167.04,72,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-1,10,CNCR EXACT,CNCR EXACT,0.50,0.50,1.80,1.80,4.00,46.00,18.40,2.30,416.30,181,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-1,800,DEBUR,DEBUR,0.10,0.00,0.90,1.15,2.56,12.00,9.20,1.15,82.80,72,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14,800,WELD,WELD,0.50,0.00,81.00,61.90,137.56,2445.00,655.36,61.90,8789.80,142,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14,10,DNM 57004X,DNM 5700 4X,0.50,1.00,12.60,12.60,28.00,262.00,141.67,13.60,2135.20,157,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14,20,DNM 57004X,DNM 5700 4X,1.00,3.00,20.25,20.25,45.00,425.00,236.25,24.25,3807.25,157,27,12-Jan-26,,,,,,,,,,,,,,,
16-455529-00,8729R04-1,10,CNCL TAK,CNCL TAK,1.00,1.70,1.63,3.26,27.94,52.60,44.64,4.96,560.48,113,10,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-1,20,DVF 5000,DVF 5000,1.00,3.00,0.82,1.23,7.38,54.60,54.99,4.23,1159.02,274,10,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-1,800,DEBUR,DEBUR,0.10,0.00,0.12,0.14,1.20,2.64,1.28,0.14,10.08,72,10,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-2,10,DNM 6700,DNM 6700,0.50,0.50,0.47,0.47,4.03,19.40,14.55,0.97,173.63,179,7,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-2,20,DVF 5000,DVF 5000,0.50,2.00,1.09,1.09,9.34,47.70,40.17,3.09,846.66,274,7,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-2,30,CNCV FAN M,CNCV FAN M,0.50,0.50,0.58,0.58,4.97,21.60,12.96,1.08,132.84,123,7,25-Sep-23,,,,,,,,,,,,,,,
16-455529-00,8729R04-2,800,DEBUR,DEBUR,0.10,0.00,0.12,0.93,7.97,2.64,7.44,0.93,66.96,72,7,25-Sep-23,,,,,,,,,,,,,,,
713-142958-001,2270R71,10,CNCL NAK,,1.00,1.60,8.40,8.40,3.00,188.00,90.00,10.00,1130.00,113,168,16-Feb-26,,,,,,,,,,,,,,,
713-142958-001,2270R71,800,DEBUR,,0.10,0.00,5.60,3.00,1.07,68.40,24.00,3.00,216.00,72,168,16-Feb-26,,,,,,,,,,,,,,,
713-142958-001,2270R71,997,INSPECTLAB,,0.10,0.00,2.80,0.20,0.07,43.50,2.30,0.20,19.80,99,168,16-Feb-26,,,,,,,,,,,,,,,
713-142958-001,2270R71,LAM-PACK,PKG CLN10K,,0.10,0.00,8.40,5.15,1.83,170.00,44.55,5.15,715.85,139,168,16-Feb-26,,,,,,,,,,,,,,,
713-142960-001,2271R68,10,CNCL NAK,,1.00,1.20,8.59,8.51,2.28,191.80,27.99,9.71,1097.23,113,224,16-Feb-26,,,,,,,,,,,,,,,
713-142960-001,2271R68,800,DEBUR,,0.10,0.00,22.40,3.00,0.80,270.00,24.00,3.00,216.00,72,224,16-Feb-26,,,,,,,,,,,,,,,
713-142960-001,2271R68,997,INSPECTLAB,,0.10,0.00,0.30,0.48,0.13,6.00,4.62,0.48,47.52,99,224,16-Feb-26,,,,,,,,,,,,,,,
713-142960-001,2271R68,1000,PKG CLN10K,,0.10,0.00,3.73,1.35,0.36,76.60,1.04,1.35,187.65,139,224,16-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,800,SAW,SAW MCH,0.10,0,,,3.30,,,,,72,60,04-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,10,CNCV MAK,CNCV MAK,0.08,0.80,,,3.30,,,,,123,60,04-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,20,DNM 5700 4X,DNM 5700 4X,1.50,1.50,,,36.0,,,37.5,5887.50,157,60,04-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,30,DNM 5700 4X,DNM 5700 4X,1.50,2.50,,,36.0,,,37.5,5887.50,157,60,04-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,810,DEBUR,DEBUR,0.10,0,,,2.29,,,,,72,60,04-Feb-26,,,,,,,,,,,,,,,
713-187739-236,10102R18,820,ASSY,ASSY1,0.10,0,,,3.95,,,,,,60,04-Feb-26,,,,,,,,,,,,,,,
713-201706-001,2277R81,10,CNCTM TAK,,1.00,1.50,13.75,13.83,5.53,295.00,241.44,15.33,2299.50,150,150,09-Mar-26,,,,,,,,,,,,,,,
713-201706-001,2277R81,20,CNCTM TAK,,1.00,3.00,7.50,7.50,3.00,170.00,192.84,10.50,1575.00,150,150,09-Mar-26,,,,,,,,,,,,,,,
713-201706-001,2277R81,800,DEBUR,,0.10,0.00,12.50,5.00,2.00,151.20,50.00,5.00,360.00,72,150,09-Mar-26,,,,,,,,,,,,,,,
713-201706-001,2277R81,997,INSPECTLAB,,0.10,0.00,0.30,0.98,0.40,6.00,0.00,0.98,97.02,99,148,09-Mar-26,,,,,,,,,,,,,,,
713-201706-001,2277R81,1000,PKG CLN10K,,0.10,0.00,2.50,5.47,2.22,52.00,0.00,5.47,760.33,139,148,09-Mar-26,,,,,,,,,,,,,,,
713-226789-201,8383R10,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,09,CNCV FAN M,,0.50,1.56,2.80,2.80,3.00,66.00,39.80,4.36,536.28,123.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,10,DVF 5000,HAAS UMC-750 5-axis,1.00,3.42,38.73,38.75,41.52,1191.90,548.21,42.17,11554.58,274.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,800,DEBUR,,0.10,0.00,4.67,4.67,5.00,57.24,37.36,4.67,336.24,72.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,20,CNCV FAN M,,0.50,1.50,9.80,9.80,10.50,206.00,144.80,11.30,1389.90,123.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,810,DEBUR,,0.10,0.00,2.80,2.53,2.71,34.80,20.24,2.53,182.16,72.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,995,INSPECTIPQ,,0.10,0.00,0.00,1.62,1.74,1.50,14.58,1.62,160.38,99.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,820,ASSY1,,0.10,0.00,8.40,5.00,5.36,102.00,45.00,5.00,360.00,72.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,998,INSPECT,,0.20,0.00,4.67,2.37,2.54,73.05,21.64,2.37,234.63,99.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,999,INSPECTASY,,0.20,0.00,2.80,0.53,0.57,45.00,6.10,0.53,52.47,99.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-226789-201,8383R10,LAM-PACK,PKG CLN10K,,0.10,0.00,1.87,2.77,2.97,39.40,23.96,2.77,385.03,139.0,56,04-Feb-25,,,,,,,,,,,,,,,
713-323740-001,9855R16,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,147,07-Jan-26,,,,,,,,,,,,,,,
713-323740-001,9855R16,10,LYNX21LYSB,DOOSAN LYNX 2100 LYSB,4.50,5.68,49.00,49.00,20.00,1070.00,541.78,54.68,9842.40,180.0,147,07-Jan-26,,,,,,,,,,,,,,,
713-323740-001,9855R16,800,DEBUR,,0.10,0.00,12.25,1.53,0.62,148.20,15.30,1.53,110.16,72.0,147,07-Jan-26,,,,,,,,,,,,,,,
713-323740-001,9855R16,997,INSPECTLAB,,0.10,0.00,0.20,0.85,0.35,4.50,10.83,0.85,84.15,99.0,147,07-Jan-26,,,,,,,,,,,,,,,
713-323740-001,9855R16,991,INSPECTIQC,,0.10,0.00,0.30,0.30,0.12,6.00,3.90,0.30,29.70,99.0,147,07-Jan-26,,,,,,,,,,,,,,,
713-344410-010,8049R12,10,LYNX21LYSB,,1.50,2.00,26.00,26.00,10.00,550.00,340.56,28.00,5040.00,180,156,05-Aug-25,,,,,,,,,,,,,,,
713-344410-010,8049R12,800,DEBUR,,0.10,0.00,5.20,3.87,1.49,63.60,31.62,3.87,278.64,72,156,05-Aug-25,,,,,,,,,,,,,,,
713-344410-010,8049R12,999,INSPECTASY,,0.20,0.00,0.50,1.92,0.74,10.50,10.14,1.92,190.08,99,156,05-Aug-25,,,,,,,,,,,,,,,
713-344410-010,8049R12,LAM-PACK,PKG CLN10K,,0.10,0.00,3.90,1.37,0.53,80.00,14.49,1.37,190.43,139,156,05-Aug-25,,,,,,,,,,,,,,,
713-A05592-003,6030R19,10,CNCTM TAK,NEX-110Y,0.50,2.50,3.73,3.73,7.99,84.60,67.41,6.23,1121.40,180,28,09-Apr-25,,,,,,,,,,,,,,,
713-A05592-003,6030R19,20,CNCTM TAK,NEX-110Y,0.50,2.00,4.67,4.67,10.00,103.40,63.67,6.67,1200.60,180,28,09-Apr-25,,,,,,,,,,,,,,,
713-A05592-003,6030R19,800,DEBUR,,0.10,0.00,1.87,1.58,3.39,23.64,12.64,1.58,113.76,72,28,09-Apr-25,,,,,,,,,,,,,,,
713-A05592-003,6030R19,999,INSPECT,,0.20,0.00,1.40,0.92,1.97,24.00,8.84,0.92,91.08,99,28,09-Apr-25,,,,,,,,,,,,,,,
713-A05592-003,6030R19,LAM-PACK,ASSY3,,0.10,0.00,2.33,1.60,3.43,48.60,14.61,1.60,222.40,139,28,09-Apr-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,10,CNCR EXACT,CNCR EXACT,0.25,0.00,5.40,5.40,9.0,113.00,48.60,5.40,977.40,181,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,800,DEBUR,DEBUR,0.10,0.00,6.00,3.90,6.5,73.20,31.20,3.90,280.80,72,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,20,CNC HAAS L,CNC HAAS L,0.50,0.50,9.60,9.60,16.0,202.00,89.80,10.10,1807.90,179,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,30,CNC HAAS L,CNC HAAS L,0.50,0.50,90.00,90.00,150.0,1810.00,839.00,90.50,16199.50,179,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,810,DEBUR,DEBUR,0.10,0.00,6.00,13.75,22.9,73.20,109.87,13.75,990.00,72,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.00,0.32,0.53,1.50,3.39,0.32,31.68,99,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,820,ASSY1,ASSY1,0.10,0.00,1.80,2.23,3.72,22.80,20.36,2.23,160.56,72,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,999,INSPECTASY,INSPECTASY,0.20,0.00,1.80,3.44,5.73,30.00,27.62,3.44,340.56,99,72,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,991,INSPECTIQC,INSPECTIQC,0.10,0.00,0.30,0.50,0.83,6.00,3.61,0.50,49.50,99,36,08-Dec-25,,,,,,,,,,,,,,,
713-A42978-022,8048R26,LAM-PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,3.00,10.40,17.3,62.00,89.96,10.40,1445.60,139,36,08-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,10,CNCR EXACT,CNCR EXACT,0.30,0.48,0.93,0.93,1.40,24.60,11.52,1.41,255.21,181,40,26-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,800,DEBUR,DEBUR,0.10,0.00,1.33,2.23,3.35,17.16,16.08,2.23,160.56,72,40,26-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,20,CNCV FAN M,CNCV FAN M,0.50,1.00,1.33,1.30,1.95,36.60,0.00,2.30,282.90,123,40,26-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,810,DEBUR,DEBUR,0.10,0.00,1.33,0.62,0.93,17.16,6.20,0.62,44.64,72,40,26-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,999,INSPECTASY,INSPECTASY,0.10,0.00,1.33,2.81,6.24,21.45,20.26,2.81,278.19,99,27,26-Dec-25,,,,,,,,,,,,,,,
713-A51655-001,8931R11,LAM-PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,0.67,3.30,7.33,15.40,30.13,3.30,458.70,139,27,26-Dec-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,800,SAW,SAW,0.10,0.00,1.87,3.73,4.0,23.64,35.88,3.73,268.56,72,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,10,CNCV FAN M,CNCV FAN M,0.30,0.60,8.40,8.40,9.0,174.00,112.80,9.00,1107.00,123,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,20,CNC 5-AXIS,CNC 5-AXIS,0.30,1.50,23.33,23.33,25.0,708.90,322.79,24.83,6803.42,274,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,30,CNCV FAN M,CNCV FAN M,0.10,1.00,9.33,9.30,9.96,188.60,99.38,10.30,1266.90,123,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,810,DEBUR,DEBUR,0.10,0.00,2.80,1.95,2.09,34.80,15.60,1.95,140.40,72,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,997,INSPECT,INSPECT,0.10,0.00,2.80,2.02,2.16,43.50,21.37,2.02,199.98,99,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,820,SOCKET FUS,SOCKET FUS,0.50,0.00,4.67,3.24,3.47,267.08,31.17,3.24,523.39,162,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,910,LEAK TEST,LEAK TEST,0.10,0.00,9.33,6.77,7.25,141.45,81.24,6.77,670.23,99,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,999,INSPECT,INSPECT,0.20,0.00,2.80,0.73,0.78,45.00,8.03,0.73,72.27,99,56,16-Jan-25,,,,,,,,,,,,,,,
839-219206-002,10775R05,LAM-PACK,ASSY3,ASSY3,0.10,0.00,1.87,1.95,2.09,39.40,15.00,1.95,271.05,139,56,16-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01,800,SOCKET FUS,SOCKET FUS,0.30,0.00,1.33,1.57,9.4,84.21,15.10,1.57,253.62,162,10,22-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01,810,ASSY1,ASSY1,0.10,0.00,1.00,0.80,4.8,13.20,7.70,0.80,57.60,72,10,22-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01,820,WELD,WELD,0.20,0.00,2.50,2.65,15.9,81.00,26.50,2.65,376.30,142,10,22-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01,910,LEAK TEST,LEAK TEST,0.20,0.00,0.83,2.49,14.9,15.45,25.15,2.49,246.51,99,10,22-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01,999,INSPECT,INSPECT,0.10,0.00,0.20,1.55,9.3,4.50,17.05,1.55,153.45,99,10,22-Jan-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-1,09,CNCV MAK,CNCV MAK,0.20,0.50,0.33,0.50,3.0,10.60,13.00,1.00,123.00,123,10,03-Feb-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-1,10,DVF 5000,DVF 5000,0.33,1.50,6.33,6.33,38.0,199.80,101.79,7.83,2145.42,274,10,03-Feb-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-1,20,CNCV MAK,CNCV MAK,0.20,1.00,0.67,0.67,4.0,17.40,16.70,1.67,205.41,123,10,03-Feb-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-2,10,CNCL TAK,CNCL TAK,1.00,4.00,3.33,3.34,10.0,86.60,64.70,7.34,829.42,113,20,03-Feb-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-2,20,CNCL TAK,CNCL TAK,0.50,1.00,0.67,0.66,2.0,23.40,14.95,1.66,187.58,113,20,03-Feb-25,,,,,,,,,,,,,,,
839-232763-002,14185R01-3,09,CNCR EXACT,CNCR EXACT,0.20,1.00,0.70,0.90,5.4,18.00,24.70,1.90,343.90,181,10,03-Feb-25,,,,,,,,,,,,,,,
839-297424-004,15763R34-1,10,CNCR EXACT,CNCR EXACT,0.50,0.50,1.20,1.20,12.00,34.00,16.34,1.70,307.70,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-1,20,CNCR EXACT,CNCR EXACT,0.50,0.00,6.50,6.50,65.00,140.00,71.50,6.50,1176.50,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-1,800,DEBUR,DEBUR,0.10,0.00,2.00,1.50,15.00,25.20,12.26,1.50,108.00,72,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,10,CNCR EXACT,CNCR EXACT,0.50,0.50,2.70,2.70,27.00,64.00,35.95,3.20,579.20,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,20,CNCR EXACT,CNCR EXACT,0.50,0.60,7.50,7.50,75.00,160.00,105.30,8.10,1466.10,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,30,CNCR EXACT,CNCR EXACT,0.50,0.50,2.20,2.20,22.00,54.00,36.34,2.70,488.70,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,40,CNCR EXACT,CNCR EXACT,0.50,0.00,7.50,7.50,75.00,160.00,84.00,7.50,1357.50,181,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,50,CNCV FAN M,CNCV FAN M,1.00,1.00,0.20,0.20,2.00,24.00,13.20,1.20,147.60,123,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,60,DNM 6700,DNM 6700,0.50,0.50,0.10,0.10,1.00,12.00,7.64,0.60,94.20,157,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34-2,800,DEBUR,DEBUR,0.10,0.00,4.50,11.50,115.00,55.20,72.55,11.50,828.00,72,6,13-Jan-26,,,,,,,,,,,,,,,
839-297424-004,15763R34,820,WELD,WELD,0.10,0.00,78.00,84.05,840.50,2343.00,957.28,84.05,11935.10,142,6,13-Jan-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,800,SAW MCH,,0.10,0.00,0.20,0.50,7.50,3.60,4.50,0.50,36.00,72.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,810,DEBUR,,0.10,0.00,0.17,0.30,4.50,3.24,2.70,0.30,21.60,72.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,820,WELD,,0.20,0.00,0.33,2.00,30.00,15.90,22.00,2.00,284.00,142.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,830,SOCKET FUS,,0.30,0.00,2.33,2.45,36.75,135.87,23.57,2.45,395.78,161.54,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,840,GF FUS,,0.50,0.00,5.13,4.72,70.80,290.85,72.59,4.72,1337.23,283.31,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,850,WELD,,0.10,0.00,0.67,0.87,13.05,23.10,8.70,0.87,123.54,142.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,910,LEAK TEST,,0.20,0.00,1.00,1.18,17.70,18.00,10.62,1.18,116.82,98.83,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,LABELLING,PART MARK,,0.20,0.00,0.07,0.07,1.05,3.24,0.37,0.07,5.04,72.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,999,INSPECT,,0.10,0.00,0.07,0.30,4.50,2.55,2.74,0.30,29.70,99.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,FAIR,FAP FAIR,,0.00,0.00,3.00,0.15,2.25,0.00,1.37,0.15,0.00,,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14422R01,LAM-PACK,ASSY3,,0.10,0.00,0.20,0.80,12.00,6.00,6.92,0.80,111.20,139.00,4,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14557R02,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.00,0.00,,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14557R02,800,SAW MCH,,0.10,0.00,0.22,1.50,6.92,3.84,13.50,1.50,108.00,72.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14557R02,10,CNCV MAK,,0.50,0.50,1.73,1.73,7.98,44.60,19.29,2.23,274.29,122.99,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14557R02,800,DEBUR,,0.10,0.00,0.43,0.81,3.74,6.36,6.54,0.81,58.32,72.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14557R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.80,3.69,6.00,0.00,0.80,79.20,99.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14558R02,10,CNCR EXACT,,0.30,0.30,1.78,1.78,9.71,41.60,16.99,2.08,376.48,181.00,11,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14558R02,800,DEBUR,,0.10,0.00,0.37,0.37,2.02,5.64,2.96,0.37,26.64,72.00,11,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14558R02,995,INSPECTIPQ,,0.10,0.00,0.30,1.95,10.64,6.00,20.63,1.95,193.05,99.00,11,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14559R02,10,CNCR EXACT,,0.30,0.30,0.26,0.26,1.73,11.20,4.57,0.56,101.36,181.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14559R02,800,DEBUR,,0.10,0.00,0.15,1.32,8.80,3.00,0.16,1.32,95.04,72.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14559R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.12,0.80,6.00,1.27,0.12,11.88,99.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,09,CNCR EXACT,,0.30,0.50,0.30,0.30,2.00,12.00,8.46,0.80,144.80,181.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,800,DEBUR,,0.10,0.00,0.30,0.20,1.33,4.80,1.44,0.20,14.40,72.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,10,DNM 57004X,DOOSAN DNM 5700 4X,1.00,1.00,2.60,2.60,17.33,72.00,46.80,3.60,565.20,156.89,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,20,DNM 57004X,DOOSAN DNM 5700 4X,0.30,0.30,1.35,1.35,9.00,33.00,21.45,1.65,259.05,157.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,810,DEBUR,,0.10,0.00,0.15,0.85,5.67,3.00,0.00,0.85,61.20,72.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14560R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.22,1.47,6.00,2.33,0.22,21.78,99.00,9,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14561R02,10,CNCL TAK,TAKISAWA NEX-108,1.50,1.60,0.76,0.75,3.46,45.20,0.00,2.35,265.55,112.96,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14561R02,20,CNCL TAK,TAKISAWA NEX-108,1.00,1.00,0.33,0.32,1.48,26.60,0.00,1.32,149.16,113.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14561R02,800,DEBUR,,0.10,0.00,0.22,0.25,1.15,3.84,0.00,0.25,18.00,72.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14561R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.42,1.94,6.00,3.78,0.42,41.58,99.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14562R02,10,CNCL TAK,TAKISAWA NEX-108,1.00,1.50,1.70,1.70,7.85,54.00,28.80,3.20,361.60,113.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14562R02,20,CNCL TAK,TAKISAWA NEX-108,1.00,1.50,0.22,0.22,1.02,24.40,15.48,1.72,194.36,113.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14562R02,800,DEBUR,,0.10,0.00,0.22,0.55,2.54,3.84,0.00,0.55,39.60,72.00,13,07-May-26,,,,,,,,,,,,,,,
839-A05168-102,14562R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.47,2.17,6.00,4.23,0.47,46.53,99.00,13,07-May-26,,,,,,,,,,,,,,,
839-A07950-001,,10,DNM 6700,DOOSAN DNM 6700,,,,,,,,,,~157,,17-Jan-24,,,,,,,,,,,,,,,
839-A29596-001,12972R08,10,CNCV FAN M,CNCV FAN M,0.50,1.50,0.67,0.67,2.0,23.40,19.82,2.17,266.91,123,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,20,CNC 5-AXIS,CNC 5-AXIS,1.00,1.00,10.67,10.67,32.0,350.10,151.71,11.67,3197.58,274,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,30,CNCV FAN M,CNCV FAN M,0.50,0.50,1.33,1.33,4.0,36.60,13.36,1.83,225.09,123,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,800,DEBUR,DEBUR,0.10,0.00,1.67,1.27,3.8,21.24,12.70,1.27,91.44,72,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.00,1.12,3.36,1.50,8.08,1.12,110.88,99,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,810,SOCKET FUS,SOCKET FUS,0.50,0.00,3.33,4.20,12.6,197.86,40.36,4.20,678.47,162,20,19-Jan-26,,,,,,,,,,,,,,,
