part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0021-53926,10,1,Mill OD rough,10mm Flat Endmill Allied 2F,end_mill,10,2,20,40,-7.8,580,,3500,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,2,Mill side rough+finish,10mm Flat Endmill Allied 2F,end_mill,10,2,20,40,-1.0,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,3,Face (main),12mm Flat Endmill Allied 2F,end_mill,12,2,25,45,-16.25,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,4,Face two steps,10mm Flat Endmill Allied 2F,end_mill,10,2,20,40,-13.25,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,5,OD finish,10mm Flat Endmill Allied 2F,end_mill,10,2,20,40,-7.8,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,6,Slot (plunge),3mm Flat Endmill Allied 2F,end_mill,3,2,8,25.4,-7.5,50,,1500,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,10,7,Slot (contour),3mm Flat Endmill Allied 2F,end_mill,3,2,8,25.4,-7.5,200,,5000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,1,Face rough,12mm Flat Endmill Allied 2F,end_mill,12,2,25,45,-15.15,800,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,2,Pocket rough,6mm Flat Endmill Allied 2F,end_mill,6,2,25,30,-9.05,1600,,6000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,3,OD rough,10mm Flat Endmill Allied 2F,end_mill,10,2,20,40,-7.95,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,4,Pocket finish,6mm Endmill CL25 Finishing 2F (ONSRUD),end_mill,6,2,25,35,-8.55,1000,,6000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,5,Pocket wall finish,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-8.55,1000,,6000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,6,OD finish,C-F-10mm 35-2FL-UNC End Mill ONSRUD,end_mill,10,2,35,40,-7.95,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,7,45deg slot rough (2x),45 DEG Special Tool SHK16 4F,special,16,4,19.27,57.82,-8.55,1000,,2500,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,8,Face finish,C-F-10mm 35-2FL-UNC End Mill ONSRUD,end_mill,10,2,35,40,-14.9,800,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,20,9,Chamfer,12mm Spotdrill 90deg Dura,spot_drill,12,2,6,50.8,-13.2,800,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,1,Face,12mm Flat Endmill Allied 2F,end_mill,12,2,25,45,-8.15,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,2,Face two steps,6mm Flat Endmill Allied 2F,end_mill,6,2,25,30,-5.15,500,,6000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,3,Wall finish two steps,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-5.15,500,,6000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,4,Slot 3mm,3mm Flat Endmill Allied 2F,end_mill,3,2,8,25.4,-0.2,200,,5000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,5,Spotdrill M5,12mm Spotdrill 90deg Dura,spot_drill,12,2,6,50.8,-2.45,400,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,6,Drill M5,4.3mm Solid Carbide Drill,drill,4.3,2,44,55,-2.292,200,,2000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,30,7,Thread M5x0.8,C-RF-M5x0.8-12pitch-D3.9-NL25 Thread Mill MYOOK,thread_mill,3.9,3,10,25,-1.5,225,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,1,Mill open slots,6mm Flat Endmill Allied 2F,end_mill,6,2,25,30,-8.15,500,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,2,Pocket finish,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-7.85,300,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,3,Pocket wall finish,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-7.85,300,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,4,45deg gap finish (4x),45 DEG Special Tool SHK16 4F,special,16,4,19.27,57.82,-7.85,900,,2300,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,5,Face finish,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-14.2,300,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,6,Chamfer (2x),12mm Spotdrill 90deg Dura,spot_drill,12,2,6,50.8,,800,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,40,7,Chamfer 0.1 (4x),3mm Chamfermill 90deg Dura,chamfer_mill,3,2,1.5,30.5,,500-1000,,8000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,1,12deg angle mill rough,6mm Flat Endmill Allied 2F,end_mill,6,2,25,30,-5.839,500,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,2,Face finish (6mm),6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-7.65,300,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,3,Face two steps finish,6mm Endmill CL25 Finishing 2F,end_mill,6,2,25,35,-4.65,300,,6400,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,4,12deg angle mill finish,12 Deg Tapered Endmill 4F,tapered_end_mill,5.5,4,15.29,50,-5.839,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,5,OD finish,C-F-10mm 35-2FL-UNC End Mill ONSRUD,end_mill,10,2,35,40,-6.85,500,,3000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,6,Chamfer,12mm Spotdrill 90deg Dura,spot_drill,12,2,6,50.8,,800,,4000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,7,Chamfer 0.1 (4x),3mm Chamfermill 90deg Dura,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,CNCV FAN L,pdf_setup
0021-53926,50,8,Engrave P/N + vendor code,P-RF-0.8mm x 2-2FL Ball Mill Dura CBN,ball_mill,0.8,2,2,20,-9.45,200,,6000-8000,,,PEEK,CNCV FAN L,pdf_setup
0021-55284,10,N1,STOPPER,Stopper,stopper,,,,,,,,,,,,CNCL TAK,xls op10.xlsx
0021-55284,10,N2,OD rough,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,31,,,, 0.10,1000,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,10,N4,OD finish,OD TURN 35° SIZE 16 (ZCCT VCGX110302-LC),turning insert,,,31,,,, 0.07,1500,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,10,N6,Parting,PARTING (Tungaloy DGM 3-020-15R AH725),parting,3,,32,,,, 0.15,800,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,20,N1,OD rough back,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,10,,,, 0.10,1000,,,PEEK 450GL30,CNCL TAK,xls op20.xlsx
0021-55284,20,N2,OD finish back,OD TURN 35° (ZCCT VCGX110302-LC),turning insert,,,10,,,, 0.07,1500,,,PEEK 450GL30,CNCL TAK,xls op20.xlsx
0021-55284,40,T2,PATTING PART arc profile,C-RF-16 MM X 35-2FL-UNC-EM,end mill,16,2,35,65,-32.26,500,,8000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3175 SETUP
0021-55284,50,T5,ROUGH C'BORE,C-RF-6 MM X 25-2FL-UNC-EM,end mill,6,2,25,35,-22.66,150,,1500,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T13,D13 FINISH C'BORE,C-F-6 MM X 25-2FL-UNC-EM,end mill,6,2,25,35,-22.86,100,,4000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T16,SPOTDRILL,6MM SPOTDRILL 90 DEG DURA,spot drill,6,2,3,35,-25.26,400,,4000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T17,DRILL 4.6,4.6MM DRILL,drill,4.6,2,40,45,-33.0,150,,1500,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0022-09112,10,1,Fly surface,50mm Facemill Mitsubishi 4F,face_mill,50,4,17,50,0.0,400,,4500,,,PEEK,CNCTM TAK,pdf_setup
0022-09112,10,2,OD Ø68 rough,6mm Flat Endmill Allied 2F,end_mill,6,2,25,30,-17.0,700,,4500,,,PEEK,CNCTM TAK,pdf_setup
0022-09112,10,3,OD Ø68 finish,6mm Endmill CL25 F ONSRUD 2F,end_mill,6,2,25,35,-17.0,400,,6000,,,PEEK,CNCTM TAK,pdf_setup
0022-09112,10,4,Chamfer 0.5,3mm Spotdrill,spot_drill,3,2,1.5,30,0.0,500,,4000,,,PEEK,CNCTM TAK,pdf_setup
0022-26284,10,T1,FLY TO 12MM,50MM FACEMILL 4F,face mill,50,4,4,40,0.0,800,,4000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T5,ROUGH OUTLINE,6MM ENDMILL 2F,end mill,6,2,25,35,-12.0,1000,,8000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T13,D13 FINISHING OUTLINE,6MM ENDMILL 2F FINISHING,end mill,6,2,25,35,-12.0,600,,5000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T6,SEMIFINISHING OUTLINE,3MM ENDMILL 2F,end mill,3,2,8,20,-12.0,500,,3000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T14,D14 FINISHING INSIDE RADIUS,3MM ENDMILL 2F FINISHING,end mill,3,2,8,20,-12.0,300,,3000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T16,D16 SMALL SLOT THRU,1.5MM LONG NECK EM CL3 SHK4 [GET TOOL],long neck end mill,1.5,4,3,22,-12.0,200,,10000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-27201,20,T5,ROUGH/FINISH SURFACE,6MM ENDMILL 2F,end mill,6,2,25,35,0.0,1000,,5000,,,PEEK 450G,CNCV MAK,setup sheet 2895
0022-27201,20,T16,D16 OUTING 7-0.1,10MM-5 RELIEF DIA 8 (T-slot cutter style),special,10,4,26.67,60,-13.0,250,,4000,,,PEEK 450G,CNCV MAK,setup sheet 2895
0022-27201,30,T17,SLOT x4 pass1,45MM SLITTING SAW SHK DIA 22 (0.9mm wide),slitting saw,45,4,0.9,95,-60.45,50,,1500,,,PEEK 450G,CNCV MAK,setup sheet 2896
0022-27201,40,T17,SLOT x4 pass2 (higher feed),45MM SLITTING SAW SHK DIA 22 (0.9mm wide),slitting saw,45,4,0.9,95,-60.45,75,,1500,,,PEEK 450G,CNCV MAK,setup sheet 3519
0022-42142,10,N1,STOPPER,Stopper,stopper,,,,,,,,,,,,CNCL TAK,xls op10.xlsx
0022-42142,10,N2,OD rough,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10 / WALTER DCLNR2525M12),turning insert,,,31,,,, 0.10,1000,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,10,N4,OD finish,OD TURN 35° SIZE 16 (ZCCT VCGX110302-LC / SVJCR-2525M-11),turning insert,,,31,,,, 0.07,1500,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,10,N6,Parting,PARTING (Tungaloy DGM 3-020-15R AH725 / CTER2525-3T25),parting,3,,32,,,, 0.15,800,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,20,N1,OD rough flip,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,10,,,, 0.10,1000,,,PEEK 450G,CNCL TAK NEX-110Y,xls op20.xlsx
0022-42142,20,N2,OD finish flip,OD TURN 35° (ZCCT VCGX110302-LC),turning insert,,,10,,,, 0.07,1500,,,PEEK 450G,CNCL TAK NEX-110Y,xls op20.xlsx
0022-42143,09,T1,CUT TO SIZE,10MM ROUGHING ENDMILL PCL590167 [FAP11335],end mill,10,2,35,40,-12.2,3500,,13500,,,PEEK 450G,CNCR EXACT (Anderson 3X 16I),setup sheet 4778
0022-42143,09,T4,CUT MATERIAL,3MM NC SPOT 90 DEG [S2DSO-090-030U],spot drill,3,2,5,30,-12.7,1500,,8000,,,PEEK 450G,CNCR EXACT (Anderson 3X 16I),setup sheet 4778
0022-42143,10,T1,FLY SURFACE,50MM FACEMILL MITSUBISHI 4F,face mill,50,4,17,50,0.0,800,,5000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T7,SPOTDRILL,12MM SPOTDRILL 90 DEG DURA,spot drill,12,2,6,50.8,-2.6,400,,4000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T15,DRILL 5,5MM DRILL,drill,5,2,25,40,-11.2,120,,1200,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T5,RELEASE HOLE; D5 HOLE 9.2; D5 C'BORE 13.2,6MM FLAT ENDMILL DURA 2F (circle mill),end mill,6,2,20,30,-11.2,100-500,,1000-3000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T4,D4 OUTING,10MM FLAT ENDMILL DURA 2F,end mill,10,2,20,40,-11.2,800,,6000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T16,RADIUS R3,R3 CORNER RADIUS SHK DIA 12 TIP 6MM,ball/corner,6,4,3,40,-3.0,200,,4000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T9,CHAMFER,3MM CHAMFERMILL 90 DEG DURA,chamfer mill,3,2,1.5,30.5,,500,,8000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,20,T1,FLY SURFACE back,50MM FACEMILL MITSUBISHI 4F,face mill,50,4,17,50,0.0,800,,5000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T6,D6 C'BORE DIA 8,3MM FLAT ENDMILL DURA 2F (circle mill),end mill,3,2,8,25.4,-7.0,100,,3000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T7,CHAMFER 1MM,12MM SPOTDRILL 90 DEG DURA,spot drill,12,2,6,50.8,0.0,400,,4000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T9,CHAMFER,3MM CHAMFERMILL 90 DEG DURA,chamfer mill,3,2,1.5,30.5,-7.0,500,,8000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-49255,10,1,rough fly surface,50mm Facemill Mitsubishi 4F,facemill,45,4,10,40,-0.5,500,,5000,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,10,2,finish fly surface,50mm Facemill Mitsubishi 4F,facemill,45,4,10,40,0.0,500,,5000,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,10,3,rough outline,6mm flat EM 2F,end mill,6,2,25,35,-13.0,2000,,6000,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,10,4,semi outline,6mm flat EM 2F,end mill,6,2,25,35,-13.0,1500,,6000,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,10,5,finish outline D20,6mm coated flat EM 2F,end mill,6,2,20,28,-13.0,1000,,6000,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,10,6,finish outline D19,4mm flat EM coated,end mill,4,2,18,25,-13.0,650,,6500,,,PEEK,CNCV FAN V,setup sheet OP10 PDF
0022-49255,20,8,rough fly back surface,50mm Facemill Mitsubishi 4F,facemill,45,4,10,40,-0.3,500,,5000,,,PEEK,CNCV FAN M,setup sheet OP20 PDF
0022-49255,20,9,finish fly back surface,50mm Facemill Mitsubishi 4F,facemill,45,4,10,40,0.0,500,,5000,,,PEEK,CNCV FAN M,setup sheet OP20 PDF
0022-49255,30,10,spotting,90deg spot drill 12mm,spot drill,12,2,20,40,-2.0,100,,2000,,,PEEK,CNCV FAN M,setup sheet OP30 PDF
0022-49255,30,11,drill Ø5.5 thru,5.6mm carbide drill,drill,5.6,2,28,35,-22.0,100,,1000,,,PEEK,CNCV FAN M,setup sheet OP30 PDF
0022-49255,30,12,CB Ø10 rough circle mill,6mm flat EM 2F,end mill,6,2,25,35,-5.8,400,,6000,,,PEEK,CNCV FAN M,setup sheet OP30 PDF
0022-49255,30,13,CB Ø10 finish circle mill,6mm flat EM 2F,end mill,6,2,25,35,-5.8,250,,6000,,,PEEK,CNCV FAN M,setup sheet OP30 PDF
0022-63955,10,N1+N2,stopper + OD rough,Mitsubishi CNGG120404-MJ HTi10 OD 80deg,turning insert,,,29,,,-,0.25,1500,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N10,OD finish,ZCCT VCGX110302-LH OD 35deg Amo,turning insert,,,56,,,-,0.06,1200,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N3/N9,parting rough/finish,WARK TDC3 TT9030 TTER20×20-2T17,parting,,,49,61,,150,0.30/0.06,1500/350,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N12/N14,ID grooving,WARK MGSR0640L20W130 SIMTEK A06.0016,ID groove,,,27,68,,-,0.06,800,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N6,ID drill,5.0mm carbide drill long series ER16,drill,5,2,56,113,,-,0.15,850,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N13/N15,OD thread,WARK MTHR0840(R)21A60-N,OD thread,,,26,46,,-,1.27,800,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N5,spot drill (horizontal),Spot drill Ø6.0 horizontal,spot drill,6,2,19,30,,-,0.10,2000,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N7,ID drill 2.5mm,Carbide drill Ø2.50 horizontal,drill,2.5,2,30,30,,-,0.10,2000,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N8,ID tap M3×0.5,Spiral flute tap M3×0.5,tap,3,2,28,30,,-,0.50,400,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N4/N11,face grooving,WARK MFGR1025L25W300-U SIMTEK A04.0016,face groove,,,18,59,,-,0.10/0.05,900,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N16,final parting (mill F),WARK TDC4 TT9030 TTEL20×20-2T17,parting,,,3,72,,150,,800,,,PEEK,LYNX 21 LYSB,setup sheet OP10 xlsx
0022-63955,10,N19,sub endmill drill,12mm EM 2F ER16 horizontal,end mill,12,2,19,59,,-,0.10,900,,,PEEK,LYNX 21 LYSB SUB,setup sheet OP10 xlsx
0022-63955,10,N17,sub OD face,ZCCT VCGX110302-LH 35deg,turning insert,,,0.5,38,,-,0.06,1000,,,PEEK,LYNX 21 LYSB SUB,setup sheet OP10 xlsx
0022-63955,10,N18,sub OD mill,Endmill Ø1mm 2F,end mill,1,2,1,27,,150,,2500,,,PEEK,LYNX 21 LYSB SUB,setup sheet OP10 xlsx
0022-63955,10,N20/N21,sub ID turn rough/finish,CCGT030102L-W WM3120 GKATE C06K-SCLCR03,ID turning insert,,,19.5,54,,-,0.10/0.06,1000,,,PEEK,LYNX 21 LYSB SUB,setup sheet OP10 xlsx
0023-12637,10,1,OD rough,MITSUBISHI CNGG120404-MJ HTi10 / WALTER DCLNR2525M12,lathe_OD_rough,,,,,-0.0,,0.15,1200,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,2,T-drill 32mm,SUMITOMO T-DRILL 32MM,lathe_drill,32,,,,-57.0,,0.07,1800,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,3,ID rough,ZCC-CT VCGX110302-LH / GKATE C16R-STUPR11,lathe_ID_rough,,,,,-56.65,,0.25,1800,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,4,OD finish,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-0.0,,0.07,1500,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,5,ID finish,ZCC-CT VCGX110302-LH / GKATE C16R-STUPR11,lathe_ID_finish,,,,,-56.8,,0.07,1600,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,6,OD parting (PCD),WARK MGGN300R 15R PCD / MGEHR2020 3T25,lathe_parting,,,,,-56.8,,0.07,1000→2000,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
