part_number,rev,class,material,part_type,machines,order_qty,job,envelope_mm,stock_form,stock_size,removal_cc,n_ops,n_tools,n_features,unit_price_rm,cost_ea_rm_est,cost_ea_rm_act,material_pc_rm,total_run_min_pc,total_setup_hr,source_folder,notes
0023-12637,03,Simple,PP NPP,cnc_lathe_milling,"CNCL NAK, CNCTM TAK",16,14530R10,Ø100x20,ROD,NPP 100MMx175MM ROD,,2,9,5,132.12,110.51,111.63,33.08,19.99,2.50,OneDrive_2026-05-14/.../0023-12637,Mat RM20.74/pc + AMAT cleaning RM12.34/pc; PCD parting; 7x radial leaders; NC MAC G95 not parsed
0041-14421,01,Simple,PP White UL94,cnc_milling,"CNCR EXACT (router), WELD",18,3500R31,~prismatic sheet assembly,SHEET,"WPPCP5 0.25"" + 0.375"" SHT WHT UL94",,4,7,6,134.55,156.52,160.83,24.22,10.0,0.60,OneDrive_2026-05-14/.../0041-14421,LOSS -RM21.97/pc; weld dominates 21.8 min/pc; assembly 11.2 min/pc; NC k=0.99 OP10
0041-62474,03,Complex,PEEK NAT unfilled sheet,cnc_milling,"CNCR BARNY, CNCV MAK, CNCL TAK, FAB, ASSY2",20,2958R01,645x629x15.875,SHEET,PEEK NAT 0.625in SHT,,,12,,14206.21,4154.29,,4238.17,50.0,4.30,OneDrive_2026-05-14/Fine Tuning Raw Data/Complex Part (PEEK,DELRIN,PP)/PEEK/0041-62474,Estimates only - completed qty 0; no actuals. 21x helicoil inserts. Large panel. CNCR BARNY rate ~RM229/hr. Customer: Applied Materials.
0042-15176,01,Complex,Victrex PEEK 450G or Semilon PK sheet,cnc_milling,CNCV FAN V (vacuum chuck),6,4189R01,Ø258.8x12.7,SHEET,PEEK NAT 0.625in SHT (ring blank),640,5,18,,1076.55,2461.05,2200.06,1672.50,180.8,6.50,OneDrive_2026-05-14/Fine Tuning Raw Data/Complex Part (PEEK,DELRIN,PP)/PEEK/0042-15176,Severe loss -RM1124/pc (-51%). 11x UNC blind tapped holes; 2x PEEK dowel pins; vacuum chuck. OP30 actuals missing (not fully run). Customer: Applied Materials.
0200-02605,06,Complex,PEEK NAT unfilled rod,cnc_lathe_milling,CNCTM TAK (NEX-108Y turnmill),42,4957R26,14.7x9.5hex,ROD,PEEK NAT 0.5in Ø rod,2.3,2,11,,89.38,113.37,111.62,2.29,17.0,6.50,OneDrive_2026-05-14/Fine Tuning Raw Data/Complex Part (PEEK,DELRIN,PP)/PEEK/0200-02605,Loss -RM22/pc (-20%). 11-tool turnmill OP10. Ext .312-24UNF + int -32UNF threads; 3/8 HEX mill; Ø1.02mm reamer; Ø0.9mm drill. Customer: Ultra Clean.
1157-776-01,A,Simple,PEEK natural virgin,cnc_lathe_milling,"CNCL NAK, CNCV MAK, SAW",25,3263R16,Ø136×57.5,ROD,PEEK NAT 160MM Ø160mm 3.28ft/job,~600,6,~17,12,2390.37,816.11,608.88,583.44,76.0,7.30,Simple Part (PEEK)/PEEK/1157-776-01,large flange Ø160 rod; ASM customer; helicoil M4+M3; engraving; lathe setup sheets missing; OP50 setup overrun ×11
1241-714-01,A VER00,Simple,PP NPP,cnc_lathe_milling,"LYNX 26Y, CNCV MAK PS95",20,9570R05,Ø53.2x16,ROD,NPP 80MM ROD,,2,12,8,222.95,128.74,156.03,9.23,26.0,3.66,OneDrive_2026-05-14/.../1241-714-01,NRE fixture $775.69; deburr overran 5x (engraved ribs); k=0.98 CNCV MAK (2-up fixture); customer ASM
15-137820-00,B,Simple,PP White,cnc_milling,CNCR EXACT,80,11090R13,~480x190x10,SHEET,WPP 12MM SHEET WHT,,2,5,5,181.37,113.51,119.59,19.41,23.3,0.83,OneDrive_2026-05-14/.../15-137820-00,Laser engraving RM5/pc external; 20pc batch; k=1.06 CNCR EXACT OP10; customer Benchmark/Novellus-Lam
15-395585-00,A,Simple,PP NPP,cnc_lathe,CNCL TAK,53,11111R09,Ø9.45xL13,ROD,NPP 15MM ROD,,1,7,4,0.00,15.28,17.97,0.05,3.0,1.50,OneDrive_2026-05-14/.../15-395585-00,Internal FORESIGHT part (unit price=0); MAC G95 NC not parseable; deburr overran 4.6x; CNCL TAK RM113/hr
16-408773-00,A,Complex,PP,cnc_milling+cnc_lathe,"CNCV FAN V,CNCR EXACT,EXXACT1616,WELD",27,10904R14,300x160x40,PLATE+SHEET,BLANK NPP 40x300x300mm + NPP 12mm SHT + NPP 0.125in SHT,,8,~21,high,0.00,1552.03,1292.79,150.43,~135,4.00,Complex Part (PEEK DELRIN PP)/Polypropylene (PP)/16-408773-00,Assembly of 3 PP items + weld; internal transfer price 0; Item1 k~1.29; CNCR EXACT k anomalous; customer Foresight internal
16-455529-00,B,Complex,PP,cnc_lathe_milling+cnc_milling,"CNCL TAK,DVF 5000,DNM 6700,CNCV FAN M",7,8729R04,~290x80x133,ROD+PLATE,NPP 2.25in ROD + NPP 1.25in SHT,,6,~21,medium,1066.70,606.19,0.00,67.83,~40,7.70,Complex Part (PEEK DELRIN PP)/Polypropylene (PP)/16-455529-00,2-item rotary arm assembly; CompletedQty=0 at assembly; Item1 quality incident (INSPECT 20x overrun); DVF5000 ~274RM/hr; NC k unreliable
713-142958-001,A,Simple,PEEK NAT,cnc_lathe,CNCL NAK,168,2270R71,Ø24.5×9,ROD,Ø25.4×18mm/pc,6.6,1,7,5,202.99,32.36,22.32,9.11,3.00,1.60,Simple Part (PEEK)/PEEK/713-142958-001,ICHOR Systems; near-pair with 713-142960-001; NC k not derived (G95 lathe)
713-142960-001,A,Simple,PEEK NAT,cnc_lathe,CNCL NAK,224,2271R68,Ø15.25×3,ROD,Ø19.05×8.8mm/pc,2.1,1,6,4,187.38,34.58,9.36,2.19,2.28,1.20,Simple Part (PEEK)/PEEK/713-142960-001,ICHOR Systems; near-pair with 713-142958-001; cycle sheet 40s vs JC 2.28min gap 3.4x; NC k not derived
713-187739-236,B,Complex,Victrex PEEK 450G natural,cnc_milling,"CNCV MAK, DNM 5700 4X",60,10102R18,prismatic clamp body from Ø90 rod,ROD,Ø90mm x ~66.7mm/pc,large,9,~56,many,623.61,,638.66,387.20,75.3,4.80,PEEK/713-187739-236,EXEMPLAR/gold standard; real LOSS price<cost ~-RM15/pc; OP20 NC -2PC- k≈1.3 OP10 k≈1.1; 2x M5 helicoil RM9.80/pc; material ~62% of cost; Lam Research
713-201706-001,A,Simple,PEEK NAT,cnc_lathe,CNCTM TAK,150,2277R81,Ø18.5×59.8,ROD,Ø19.05×76mm/pc,13.7,2,12,7,107.76,68.33,56.80,18.87,8.53,4.50,Simple Part (PEEK)/PEEK/713-201706-001,ICHOR Systems; 2 scrap; OP20 setup 3x estimate; M10 cross-hole + M6 tap; CNCTM TAK RM 150/hr
713-226789-201,C,Complex,PEEK 450G natural,cnc_milling,CNCV FAN M (OP09+OP20); DVF 5000 5-axis VMC (OP10),56,8383R10,85×75×64,PLATE,1.5in×85mm×75mm,~80,3,18,20+,829.36,586.52,576.08,288.70,55.02,6.48,Complex Part (PEEK)/PEEK/713-226789-201,NRE fixture $1325 USD; DVF5000 rate RM274/hr; no NC (only .mcam); setup sheet vs JC factor ~1.67 on OP10; M5+M4 helicoils 6/pc
713-323740-001,A,Complex,PEEK natural,cnc_lathe,DOOSAN LYNX 2100 LYSB,147,9855R16,Ø47.1×19,ROD,Ø57.15mm (2.25in),~70,1,21,15+,309.15,173.61,174.82,94.94,20.00,5.68,Complex Part (PEEK)/PEEK/713-323740-001,Customer=Lam Manufacturing Malaysia; k=1.00 for LYNX; C1 cleanliness 508-097925-008; engrave sub-spindle Ø0.8mm ball; outsourced clean RM8/pc
713-344410-010,A,Simple,PEEK NAT,cnc_lathe,LYNX21LYSB,156,8049R12,Ø25.4×75,ROD,Ø25.4×83mm/pc,27.0,1,8,6,133.89,85.68,81.57,42.50,10.00,2.00,Simple Part (PEEK)/PEEK/713-344410-010,Lam Research; setup sheet cycle exactly matches JC (k=1.0); LYNX21LYSB RM 180/hr; BOM present but unreadable
713-A05592-003,B,Simple,PEEK,cnc_lathe,CNCTM TAK (NEX-110Y),28,6030R19,Ø57.15×35,ROD,Ø57.15×35.6mm/pc,47.0,2,13,8,175.43,175.77,175.85,71.69,17.99,4.50,Simple Part (PEEK)/PEEK/713-A05592-003,GES Mfg (not Lam); loss -RM0.34/pc; setup 4.5x estimate; cycle sheet matches JC 1.06x; NEX-110Y RM 180/hr
713-A42978-022,A,Simple,PP,cnc_milling,CNCR EXACT + CNC HAAS L,36,8048R26,820x704x12.7,SHEET,PP 12MM WHT,,3+debur+pkg,~17,large plate w/ Ø410 bore,872.00,891.95,901.80,194.52,175.0,1.00,Simple Part (PEEK DELRIN PP)/Polypropylene (PP)/713-A42978-022,No NC files; OP30 dominates 150 min/pc; M5 helicoil×2; KTP service RM50/pc; loss job
713-A51655-001,A,Simple,PP,cnc_lathe,CNCR EXACT + CNCV FAN M,25,8931R11,~32x50x32 approx,SHEET,WPP 0.5IN THK WHT,,2,7,small L-bracket w/ Ø0.206 bore,96.87,46.24,59.01,1.07,3.35,1.48,Simple Part (PEEK DELRIN PP)/Polypropylene (PP)/713-A51655-001,Customer=Ultra Clean Tech; 20pc/column strip fixture; k=1.22 (CNCR lathe) k=1.77 (CNCV FAN M)
839-219206-002,C,Simple,PP,cnc_lathe_milling,CNCV FAN M + CNC 5-AXIS,56,10775R05,~Ø102x71 approx,ROD,NPP 100MM Ø x 4.0m/56pc,,3,~17,nozzle mount w/ NPT ports + socket fuse fitting,5143.21,382.74,358.52,143.04,47.96,3.10,Simple Part (PEEK DELRIN PP)/Polypropylene (PP)/839-219206-002,No NC; purchased fitting RM130/pc drives 93% of unit price; 5-axis OP20 25min/pc; OP20 setup 5× over estimate
839-232763-002,C,Simple,PP,assembly,DVF 5000 + CNCV MAK + CNCL TAK + CNCR EXACT,10,14185R01,~80x75x110 (ITEM1),BLOCK+ROD+SHEET,NPP block/rod/sheet,,assembly w/ sub-jobs,~17 total,welded DO probe housing assembly,1002.78,526.88,747.95,assy incl sub-items,assembly varies,assembly varies,Simple Part (PEEK DELRIN PP)/Polypropylene (PP)/839-232763-002,Customer=Celestica; 3 sub-items; 50% weld scrap; DVF5000 k=1.05; CNCL TAK NC unusable (CSS mode); 42% cost overrun
839-297424-004,C,Complex,PP,cnc_milling,"CNCR EXACT,CNCV FAN M,DNM 6700,WELD",6,15763R34,~616x470x480 (box),PLATE,NPP 0.5in+0.75in SHT NAT SIMON,,10,~28,high,9520.04,9647.46,9715.48,150.74+909.44,~225,4.60,Complex Part (PEEK DELRIN PP)/Polypropylene (PP)/839-297424-004,Welded PP reservoir; hardware dominates cost (RM4522/pc); CNCR EXXACT 181RM/hr; k~1.3-1.4; hole OOS+engrave rework history; Benchmark Electronics customer
839-A05168-102,C,Complex,NPP (Natural Polypropylene),cnc_milling+cnc_lathe+weld_fusion,"CNCV MAK, CNCR EXACT, DNM 5700 4X, CNCL TAK (NEX-108), SAW, WELD, GF FUS, SOCKET FUS",4 (assy) / 9-13 (sub-items),14422R01 (assy); 14557-14562R02 (sub-items),~914x200x150 (assembly),PIPE+PLATE+ROD,NPP pipe 32mm OD (GF 168.480.153); NPP SHT 0.375/0.5/1.0/2.0in; NPP ROD 35mm,,12 (assy+sub-item ops combined),~19 (across all items),~20,4409.84,3220.42,3379.95,2725.70,~200 (assy fusion+assembly),2.40 (assy est),Polypropylene (PP)/839-A05168-102,Multi-item GF-fused PP pipe assembly; Item 7 (PP 2in plate/DNM 5700) is primary machined sub-item; k_DNM5700_PP~1.04; CNCR EXACT rate RM181/hr; CNCV MAK rate RM123/hr; CNCL TAK rate ~RM113/hr; purchased fittings dominate material cost; Items 1/8/9 have UnitPrice=0 (internal); assy Setup Actual=0 all ops (anomaly); NC unusable for lathe .MAC files (G95 feed=0)
839-A07950-001,B,Complex,NPP (Natural Polypropylene),cnc_milling+weld_fabrication,DOOSAN DNM 6700 (post-assy OP10),,,~Ø500 x H250 (assembly),SHEET+ROD+PIPE,NPP SHT 0.75/0.50/0.38/0.13/1.00in; NPP ROD 1.75/1.50/90mm; NPP PIPE 63mm OD,,1 (post-assy OP10 only; upstream weld ops unknown),3,~8 (face+6holes+cbore),,,,,~22 (OP10 post-assy only),~0.33 (20 min setup per sheet),Polypropylene (PP)/839-A07950-001,NO JOB COST PDF - primary data gap; plating cell 300mm drum assembly; welded from NPP sheets using FT-1135 fixture per OMS-1294; post-assy OP10 DNM6700 (22 min cycle sheet; NC est 53.4 min k~0.41 flagged as over-estimate due to full-face deck); 6-WCS fixture FAP-01803; Onsrud PCL590166 2FL 6mm EM at 2286mm/min S6000 for PP facing; helicoils 1/4-20 and #10-32 per BOM; customer=Lam Research
839-A29596-001,B,Simple,PP,cnc_milling,CNCV FAN M + CNC 5-AXIS,20,12972R08,~60x72x63.5 approx,BLOCK,NPP 60MM x 72MM x 72MM,131,3,~21,NPT bracket w/ 2x union adapters,1060.72,513.52,500.67,119.97,38.0,3.00,Simple Part (PEEK DELRIN PP)/Polypropylene (PP)/839-A29596-001,Customer=Foresight (internal); k=1.05 OP10 k=1.47 OP20 k=1.11 OP30; 2x 1/8-27 NPT threadmill; union adapters RM111/pc
