part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
713-A42978-022,30,T4,Rough Ø410 contour,10MM FLAT END MILL AUS-A2003100,end_mill,10,2,35,40,,-8.1,,,1500,,5000,PP,CNC HAAS L,setup_pdf_op30
713-A42978-022,30,T9,Spotdrill chamfer,3MM NC SPOT 90 DEG 2F,spot_drill,3,2,5,30,,-4.0,,,1000,,4000,PP,CNC HAAS L,setup_pdf_op30_tl
713-A42978-022,30,T15,Finish helicoil bore 15mm,15MM FLAT END MILL (FULLERTON-2F),end_mill,15,2,35,40,,-7.7,,,900,,5000,PP,CNC HAAS L,setup_pdf_op30_tl
713-A42978-022,30,T28,20MM Spotdrill,20MM SPOTDRILL FULL 90 DEG,spot_drill,20,2,50,100,,-4.0,,,400,,3000,PP,CNC HAAS L,setup_pdf_op30_tl
713-A51655-001,10,N1,Rough OD,6MM ROUGHING ENDMILL PCL590166 FAP11336,end_mill,6,2,25,35,,-12.1,,,13500,,,PP,CNCR EXACT,setup_pdf_op10
713-A51655-001,10,N2,Finish OD,6MM FINISHING ENDMILL PCL590166 FAP11336,end_mill,6,2,25,35,,-12.0,,,13500,,,PP,CNCR EXACT,setup_pdf_op10
713-A51655-001,10,N3,Remachining R0.10,3MM ENDMILL PCL590193 FAP11334,end_mill,3,2,10,30,,-12.7,,,5000,,,PP,CNCR EXACT,setup_pdf_op10
713-A51655-001,10,N4,Cut material,3MM NC SPOT 90 DEG,spot_drill,3,2,5,30,,0,,8000,,,PP,CNCR EXACT,setup_pdf_op10
713-A51655-001,20,T7,Spot drill Ø0.206,12MM NC SPOT 90 DEG 2F,spot_drill,12,2,20,40,,-28.4,,,4000,,,PP,CNCV FAN M,setup_pdf_op20
713-A51655-001,20,T16,Drill Ø5.23mm (0.206in),DRILL 5.23MM,drill,5.23,2,25,35,,-34.5,,,1350,,,PP,CNCV FAN M,setup_pdf_op20
713-A51655-001,20,T14,Finish bore Ø0.206,3MM ENDMILL 2F FINISHING,end_mill,3,2,8,20,,-33.0,,,5000,,,PP,CNCV FAN M,setup_pdf_op20
839-219206-002,10,T4,Fly thickness,10MM ENDMILL 2F,end_mill,10,2,25,40,,-4.0,,,4000,,,PP,CNCV FAN M,setup_pdf_op10
839-219206-002,10,T12,Rough step depth 4mm,6MM ENDMILL 2F,end_mill,6,2,35,40,,-4.0,,,6000,,,PP,CNCV FAN M,setup_pdf_op10
839-219206-002,10,T12b,Finish step depth,10MM ENDMILL 2F FINISHING,end_mill,10,2,25,40,,-4.0,,,6000,,,PP,CNCV FAN M,setup_pdf_op10
839-219206-002,10,T16,Dovetail slot clamp,DOVE TAIL 60 DEG HALF 30 DEG FAP11481,dovetail,12,2,25,40,,-4.0,,,4000,,,PP,CNCV FAN M,setup_pdf_op10
839-219206-002,20,T23,Rough fly surface,16MM ENDMILL-CL35 TP85-TL100-2F ALLIED,end_mill,16,2,35,100,,-65.0,,,3000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-219206-002,20,T21,Finish outline,10MM ENDMILL-CL25 2F ALLIED,end_mill,10,2,25,100,,,,,,,PP,CNC 5-AXIS,setup_pdf_op20
839-219206-002,20,T21b,DIG finish island Ø0.94,10MM ENDMILL-CL25 SHK 10MM UNCOATED,end_mill,10,2,25,100,,,,6000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-219206-002,30,T2,Rough fly surface back,16MM ENDMILL 2F,end_mill,16,2,35,100,,,,,,,PP,CNCV FAN M,setup_pdf_op30
839-219206-002,30,T14,Rough C-bore Ø0.206,3MM ENDMILL 2F FINISHING,end_mill,3,2,8,20,,,,,,,PP,CNCV FAN M,setup_pdf_op30
839-219206-002,30,T19,Spotdrill,3MM NC SPOT 90 DEG 2F,spot_drill,3,2,5,30,,,,,,,PP,CNCV FAN M,setup_pdf_op30
839-219206-002,30,T9,Permanent engrave,0.8MM BALLNOSE 2F,ball_mill,0.8,2,3,20,,,,,,,PP,CNCV FAN M,setup_pdf_op30
839-232763-002,09,T1,Facing (ITEM1),80MM FACEMILL MITSUBISHI 4F,face_mill,80,4,0,58,0.0,1000,,5000,,,PP,CNCV MAK,setup_pdf_item1_op09
839-232763-002,09,T12,Dovetail Z-3.175 (ITEM1),DOVETAIL FAP11461 16MM,dovetail,16,2,60,60,-3.175,500,,8000,,,PP,CNCV MAK,setup_pdf_item1_op09
839-232763-002,09,T9,Dovetail pin (ITEM1),6MM ENDMILL 2F,end_mill,6,2,25,25,-3.175,500,,6000,,,PP,CNCV MAK,setup_pdf_item1_op09
839-232763-002,10,T1,Rough outline (ITEM1),10MM ROUGH ENDMILL PCL590167,end_mill,10,2,35,40,,3000,,13500,,,PP,DVF 5000,setup_pdf_item1_op10
839-232763-002,10,T4,Fin outline (ITEM1),10MM FINISHING ENDMILL PCL590167,end_mill,10,2,35,40,,3000,,13500,,,PP,DVF 5000,setup_pdf_item1_op10
839-232763-002,10,T3,Registration holes (ITEM1),3MM ENDMILL PCL590193 2F,end_mill,3,2,10,30,,2000,,11000,,,PP,DVF 5000,setup_pdf_item1_op10
839-232763-002,10,T12,Rough Ø0.44 bore (ITEM1),3MM ENDMILL PCL590193 2F,end_mill,3,2,10,30,,500,,6500,,,PP,DVF 5000,setup_pdf_item1_op10
839-232763-002,10,T4b,Cut material (ITEM1),3MM NC SPOT 90 DEG,spot_drill,3,2,5,30,,3000,,5000,,,PP,DVF 5000,setup_pdf_item1_op10
839-232763-002,20,T1,Facing back (ITEM1),80MM FACEMILL MITSUBISHI 4F,face_mill,80,4,0,58,0.0,1000,,5000,,,PP,CNCV MAK,setup_pdf_item1_op20
839-232763-002,20,T18,R1.5 fillet (ITEM1),RADIUS CUTTER R1.5 TIP 1.5,radius_mill,1.5,2,30,30,-1.5,500,,4000,,,PP,CNCV MAK,setup_pdf_item1_op20
839-232763-002,09b,T1,Rough outline (ITEM3),10MM ROUGH ENDMILL PCL590167,end_mill,10,2,35,40,,3000,,13500,,,PP,CNCR EXACT,setup_pdf_item3_op09
839-232763-002,09b,T4,Fin outline (ITEM3),10MM FINISHING ENDMILL PCL590167,end_mill,10,2,35,40,,3000,,13500,,,PP,CNCR EXACT,setup_pdf_item3_op09
839-A29596-001,10,N1,Face flat surface,12MM FLAT END MILL 2F,end_mill,12,2,50,50,0.0,1000,,5000,,,PP,CNCV FAN M,setup_pdf_op10
839-A29596-001,10,N2,Width cut 40mm Z-4.5mm,12MM FLAT END MILL 2F,end_mill,12,2,50,50,-4.5,1000,,5000,,,PP,CNCV FAN M,setup_pdf_op10
839-A29596-001,10,N3,Dovetail Z-4mm,12MM x 60DEG DOVETAIL,dovetail,12,4,25,60,-4.0,500,,6000,,,PP,CNCV FAN M,setup_pdf_op10
839-A29596-001,10,N4,Slot7 Z-2.7mm,6MM ENDMILL-CL25-TP85-TL65-2F,end_mill,6,2,25,65,-2.7,1000,,6000,,,PP,CNCV FAN M,setup_pdf_op10
839-A29596-001,20,T16,Fly surface top Z0,16MM FLAT END MILL CL35 ONSPUD 2FL,end_mill,16,2,35,100,0.0,500,,5000-5500,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T2,Rough block 1/2/3,10MM FLAT END MILL CL35 ONSPUD 2FL,end_mill,10,2,35,100,,500,,5000-5500,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T18,D18 Matching R0.13in,18MM FLAT END MILL CL35 ONSPUD 2FL,end_mill,18,2,35,100,,450,,5000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T5,Rough collar / Ø0.332,8MM FLAT END MILL CL25 ONSPUD 2FL,end_mill,8,2,25,100,,500,,3500-5000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T6,Rough thru holes Ø0.221 / 0.190,5.6MM FLAT END MILL CL35 ONSPUD 2FL,end_mill,5.6,2,35,100,,300-500,,3500,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T22,Spotting x6,3MM NC SPOT 90 DEG,spot_drill,3,2,5,30,,200,,4000-5000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T21,7MM carbide drill x6,7MM CARBIDE DRILL,drill,7,2,40,90,,200,,1400-4000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,20,T20,1/8-27 NPT thread mill x2,1/8-27 NPT THREADMILL,thread_mill,8,,,,,300,,3000,,,PP,CNC 5-AXIS,setup_pdf_op20
839-A29596-001,30,T2,Roughing back face,16MM FLAT END MILL 2FL,end_mill,16,2,35,100,,1000,,5500,,,PP,CNCV FAN M,setup_pdf_op30
839-A29596-001,30,T3,Fly surface 2.27in control,12MM FLAT END MILL CL35 2FL,end_mill,12,2,35,50,,500,,5500,,,PP,CNCV FAN M,setup_pdf_op30
839-A29596-001,30,T7,Spotting,3MM NC SPOT 90 DEG,spot_drill,3,2,5,30,,200,,5000,,,PP,CNCV FAN M,setup_pdf_op30
839-A29596-001,30,T21,7MM carbide drill,7MM CARBIDE DRILL,drill,7,2,40,90,,200,,4000,,,PP,CNCV FAN M,setup_pdf_op30
839-A29596-001,30,T5,Ø0.35 bore depth 0.80in,8MM FLAT END MILL 2FL,end_mill,8,2,25,100,,350,,1400,,,PP,CNCV FAN M,setup_pdf_op30
839-A29596-001,30,T7b,Chamfer 0.04x45deg,3MM NC SPOT 90 DEG,spot_drill,3,2,5,30,,50,,3500,,,PP,CNCV FAN M,setup_pdf_op30
