part_number,job,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
0043-09967,COFAB-quote,10,,,USD 57.47,USD 574.70,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0043-09967,COFAB-quote,20,,,USD 54.89,USD 1097.80,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0042-88459,COFAB-quote,1,,,USD 120.88,USD 120.88,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,5,,,USD 76.05,USD 380.25,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,10,,,USD 70.31,USD 703.10,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,20,,,USD 67.29,USD 1345.80,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-58555,COFAB-quote,1,,,USD 340.04,USD 340.04,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,3,,,USD 167.24,USD 501.72,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,5,,,USD 132.68,USD 663.40,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,10,,,USD 112.17,USD 1121.70,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-51782,COFAB-quote,3,,,USD 68.51,USD 205.53,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,5,,,USD 56.45,USD 282.25,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,10,,,USD 47.25,USD 472.50,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,20,,,USD 42.48,USD 849.60,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
839-323453-001,COFAB-quote,1,,,USD 1498.53,USD 1498.53,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,5,,,USD 1321.05,USD 6605.25,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,10,,,USD 1298.87,USD 12988.70,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,20,,,USD 1287.78,USD 25755.60,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,50,,,USD 1281.12,USD 64056.00,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
0041-28291,COFAB-quote,1,,,USD 491.62,USD 491.62,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,5,,,USD 420.93,USD 2104.65,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,10,,,USD 412.10,USD 4121.00,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,20,,,USD 407.68,USD 8153.60,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,50,,,USD 405.03,USD 20251.50,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
