part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0041-14421,10,7,cut material,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,-9.525,2000,,11000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,20,1,rough outline 6.35mm,10MM ROUGHING ENDMILL PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-6.35,300,,11000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,20,2,finish outline 6.35mm,10MM FINISHING ENDMILL PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-6.35,500,,11000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,20,3,slot thru 6.35mm,— (D23 slot),slot,,,,,-6.35,150,,3000,,,PP White UL94,CNCR EXACT (Router),nc
0041-14421,20,4,chamfer weld,3MM NC SPOT 90DEG,chamfer_mill,3,2,5.0,30.0,0.0,,,11000,,,PP White UL94,CNCR EXACT (Router),nc
1241-714-01,10,1,face+OD rough,MITSUBISHI CNGG120404-MJ HTi10 / WALTER DCLNR2020K12,lathe_OD_rough,,,,,-0.3,,0.20,1200,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,2,OD finish,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-36.0,,0.06,1000,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,3,H-drill Ø12 live,12MM FLAT ENDMILL 4F (horizontal live),end_mill,12,4,50.0,75.0,-38.8,300,,2000,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,4,H-drill Ø4 live,FAP-00027 4MM,drill,4,2,29.3,75.0,-37.075,70,,2500,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,5,H-drill Ø3.15 live,FAP-00026 3.15MM,drill,3.15,2,8.0,75.0,-44.075,70,,2500,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,6,engrave (vertical),0.8MM BALL ENDMILL 4F,ball_mill,0.8,4,50.0,75.0,,300–200,,4000,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,10,7,OD parting,ISCAR TAG R3J-15D IC908 / SHANGINGSGBU 20-32,lathe_parting,,,,,-38.0,,0.15,1100,,,PP NPP,DOOSAN 2600Y,setup_sheet
1241-714-01,20,1,Ø15 pocket rough,12MM ENDMILL 2F,end_mill,12,2,25.0,50.0,-5.8,2000,,7200,,,PP NPP,CNCV MAK PS95,setup_sheet
1241-714-01,20,2,Ø15 pocket finish,10MM ENDMILL 2F FINISHING,end_mill,10,2,25.0,40.0,-6.0,720,,7200,,,PP NPP,CNCV MAK PS95,setup_sheet
1241-714-01,20,3,Ø6H9 bore rough (helix),5MM FLAT ENDMILL 4F,end_mill,5,4,30.0,75.0,-24.0,350,,6450,,,PP NPP,CNCV MAK PS95,setup_sheet
1241-714-01,20,4,Ø6H9 reamer,6.03MM REAMER DURA 6F,reamer,6.03,6,26.0,93.0,-24.0,10,,420,,,PP NPP,CNCV MAK PS95,setup_sheet
1241-714-01,20,5,face thickness rough,12MM ENDMILL 2F,end_mill,12,2,25.0,50.0,0.25,2000,,8200,,,PP NPP,CNCV MAK PS95,setup_sheet
1241-714-01,20,6,face thickness finish,10MM ENDMILL 2F FINISHING,end_mill,10,2,25.0,40.0,0.0,720,,7200,,,PP NPP,CNCV MAK PS95,setup_sheet
15-137820-00,10,1,roughing facing,20MM ENDMILL CHIPBREAKER,end_mill,20,2,65.0,80.0,-11.0,3000,,13500,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,2,finishing facing,20MM ENDMILL CHIPBREAKER,end_mill,20,2,65.0,80.0,-11.0,2000,,10000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,3,rough outline,10MM ROUGHING EM PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-10.0,3500,,13500,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,4,finish outline,10MM FINISHING EM PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-10.0,3000,,12500,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,5,chamfer,20MM SPOT DRILL 90DEG,chamfer_mill,20,2,35.0,50.0,-7.35,1200,,8000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,6,rough c-bore Ø12.7,6MM ROUGHING EM PCL590166 FAP11336,end_mill,6,2,25.0,35.0,-3.61,500,,5000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,7,finish c-bore Ø12.7,6MM FINISHING EM PCL590166 FAP11336,end_mill,6,2,25.0,35.0,-3.81,500,,5000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,8,helix bore Ø6.73,3MM ENDMILL PCL590193 FAP11334,end_mill,3,2,10.0,30.0,-11.0,500,,5000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,9,chamfer holes,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,-4.81,500,,9000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,10,10,cut material,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,-10.8,2000,,11000,,,PP White WPP,EXXACT PLUS,setup_sheet
15-137820-00,20,1,rough facing back,20MM ENDMILL CHIPBREAKER,end_mill,20,2,65.0,80.0,-11.0,3000,,13500,,,PP White WPP,EXXACT 1616,setup_sheet
15-137820-00,20,2,finish facing back,20MM ENDMILL CHIPBREAKER,end_mill,20,2,65.0,80.0,-11.0,2000,,10000,,,PP White WPP,EXXACT 1616,setup_sheet
15-137820-00,20,3,rough step 3.3mm,6MM ROUGHING EM PCL590166 FAP11336,end_mill,6,2,25.0,35.0,-3.002,1500,,13500,,,PP White WPP,EXXACT 1616,setup_sheet
15-137820-00,20,4,finish step 3.3mm,6MM FINISHING EM PCL590166 FAP11336,end_mill,6,2,25.0,35.0,-3.302,1200,,10000,,,PP White WPP,EXXACT 1616,setup_sheet
15-137820-00,20,5,chamfer back,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,-0.7,2000,,11000,,,PP White WPP,EXXACT 1616,setup_sheet
15-395585-00,10,1,face stopper / OD rough,MITSUBISHI CNGG120404-MJ HTi10 / WALTER DCLNR2525M12,lathe_OD_rough,,,,,0.3,,0.20,1000,,,PP NPP,TAKISAWA 108,setup_sheet
15-395585-00,10,2,OD finish,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-13.6,,0.07,1000,,,PP NPP,TAKISAWA 108,setup_sheet
15-395585-00,10,3,back chamfer,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-13.395,,0.07,1000,,,PP NPP,TAKISAWA 108,setup_sheet
15-395585-00,10,4,ID drill 6mm EM,Ø6.00MM END MILL (drill substitute),drill,6,,,,-15.2,,0.10,1000,,,PP NPP,TAKISAWA 108,setup_sheet
15-395585-00,10,5,ID finish,WARK MBQR0441L16R010 / SIMTEK A04.0016,lathe_ID_finish,,,,,-13.7,,0.07,1000,,,PP NPP,TAKISAWA 108,setup_sheet
15-395585-00,10,6,OD parting,TAEGUTEC TDJ2TT8020 / T-CLAMP TTER2525-2T17,lathe_parting,,,,,-14.7,,0.07,1000,,,PP NPP,TAKISAWA 108,setup_sheet
